1,25
2,13
3,22
4,2
5,18
6,17
7,11
8,22
9,13
10,20
11,19
12,9
13,11
14,14
15,4
16,5
17,6
18,3
19,2
20,13
21,4
22,0
23,9
24,17
25,9
26,1
27,22
28,21
29,23
30,24
31,25
32,23
33,19
34,14
35,20
36,24
37,2
38,19
39,9
40,17
41,16
42,20
43,13
44,15
45,13
46,21
47,13
48,14
49,24
50,0
51,7
52,3
53,21
54,20
55,15
56,14
57,5
58,9
59,16
60,14
61,0
62,2
63,11
64,10
65,0
66,0
67,2
68,20
69,24
70,21
71,24
72,0
73,21
74,8
75,21
76,18
77,15
78,5
79,2
80,19
3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,"{'precision': 0.5, 'recall': 0.75, 'f1-score': 0.6, 'support': 4}"
1,"{'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 2}"
2,"{'precision': 0.5, 'recall': 0.75, 'f1-score': 0.6, 'support': 4}"
3,"{'precision': 0.5, 'recall': 0.3333333333333333, 'f1-score': 0.4, 'support': 3}"
4,"{'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 2}"
5,"{'precision': 0.3333333333333333, 'recall': 0.5, 'f1-score': 0.4, 'support': 2}"
